class_idx,class_name,support,precision,recall,f1,species
2,American Pit Bull Terrier,100,0.823529,0.560000,0.666667,dog
34,Staffordshire Bull Terrier,89,0.707865,0.707865,0.707865,dog
26,Ragdoll,100,0.759259,0.820000,0.788462,cat
1,American Bulldog,100,0.739837,0.910000,0.816143,dog
5,Bengal,100,0.728682,0.940000,0.820961,cat
6,Birman,100,0.838384,0.830000,0.834171,cat
11,Egyptian Mau,97,0.870968,0.835052,0.852632,cat
9,British Shorthair,100,0.892473,0.830000,0.860104,cat
27,Russian Blue,100,0.962963,0.780000,0.861878,cat
20,Maine Coon,100,0.913043,0.840000,0.875000,cat
8,Boxer,99,0.901961,0.929293,0.915423,dog
0,Abyssinian,98,0.927083,0.908163,0.917526,cat
4,Beagle,100,0.920000,0.920000,0.920000,dog
23,Persian,100,0.947917,0.910000,0.928571,cat
7,Bombay,88,0.871287,1.000000,0.931217,cat
10,Chihuahua,100,0.930693,0.940000,0.935323,dog
24,Pomeranian,100,0.914286,0.960000,0.936585,dog
32,Siamese,100,0.988889,0.890000,0.936842,cat
14,German Shorthaired,100,0.884956,1.000000,0.938967,dog
16,Havanese,100,0.931373,0.950000,0.940594,dog
3,Basset Hound,100,0.940594,0.950000,0.945274,dog
33,Sphynx,100,1.000000,0.920000,0.958333,cat
35,Wheaten Terrier,100,0.989474,0.940000,0.964103,dog
21,Miniature Pinscher,100,0.969697,0.960000,0.964824,dog
13,English Setter,100,1.000000,0.960000,0.979592,dog
12,English Cocker Spaniel,100,0.980000,0.980000,0.980000,dog
22,Newfoundland,100,0.980000,0.980000,0.980000,dog
28,Saint Bernard,100,0.970588,0.990000,0.980198,dog
29,Samoyed,100,0.961538,1.000000,0.980392,dog
36,Yorkshire Terrier,100,0.970874,1.000000,0.985222,dog
25,Pug,100,1.000000,0.980000,0.989899,dog
19,Leonberger,100,1.000000,0.980000,0.989899,dog
15,Great Pyrenees,100,0.990000,0.990000,0.990000,dog
30,Scottish Terrier,99,0.980198,1.000000,0.990000,dog
31,Shiba Inu,100,0.990000,0.990000,0.990000,dog
18,Keeshond,99,1.000000,0.989899,0.994924,dog
17,Japanese Chin,100,0.990099,1.000000,0.995025,dog
